# fr-FR
"No match found","Aucune correspondance trouvée"
			"{os2editor.help.more.attributes-options}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Utilisation des attributs ou des options des produits</h4>

<p>
Il est possible d'utiliser les attributs ou les options des produits à l'aide de la syntaxe ci-dessous.
</p>
<p>
	Pour utiliser les catégories des produits dans les conditions, voir la <a href=""#"" onclick=""os2editor.help('more.categories');"">rubrique explicative</a>.
</p>
<p>
Vous pouvez utiliser cette technique dans les propriétés 'conditions' et 'fees'.
</p>

<div class=""code""><span class=""comment""># Si au moins un produit possède l'attribut 'color' égal à 'Bleu'<br/></span>
conditions: <span class=""string"">""{count products where product.attribute.color=='Bleu'}&gt;0""</span>,<br/>
...<br/>
<span class=""comment""># Si tous les produits possèdent l'option 'size' supérieure ou égal à '1'<br/></span>
conditions: <span class=""string"">""{count products where product.option.size&gt;='1'}=={cart.quantity}""</span>,<br/>
...<br/>
<span class=""comment""># Le nombre de SKU différents<br/></span>
conditions: <span class=""string"">""{count distinct product.attribute.sku}""</span>,<br/>
...<br/>
<span class=""comment""># La somme de toutes les options 'size' est supérieure à 30<br/></span>
conditions: <span class=""string"">""{sum product.option.size}&gt;30""</span>,<br/>
...<br/>
<span class=""comment""># Le prix HT sans remise minimum des produits dans le panier est supérieur à 10<br/></span>
conditions: <span class=""string"">""{min product.attribute.price-tax-discount}>10""</span>,<br/>
...<br/>
<span class=""comment""># La valeur maximum de l'option 'size' des produits dans le panier est inférieure à 50<br/></span>
conditions: <span class=""string"">""{max product.option.size}<50""</span>,<br/>
...<br/>
<span class=""comment""># Le nombre de produits en stock<br/></span>
conditions: <span class=""string"">""{count products where product.stock.is_in_stock==true}""</span>,<br/>
...
</div>

<p>
Liste des préfixes possibles :
</p>
<ul>
	<li><b>count :</b> nombre (toujours suivi de 'products')</li>
	<li><b>count distinct :</b> nombre distinct (toujours suivi d'une propriété)</li>
	<li><b>sum :</b> somme (toujours suivi d'une propriété)</li>
	<li class=""new""><b>min :</b> minimum (toujours suivi d'une propriété)</li>
	<li class=""new""><b>max :</b> maximum (toujours suivi d'une propriété)</li>
</ul>
<p>
Liste des propriétés possibles :
</p>
<ul>
	<li><b>product.quantity :</b> quantité de l'article dans le panier</li>
	<li><b>product.category :</b> nom de la première catégorie du produit</li>
	<li><b>product.category.id :</b> id de la première catégorie du produit</li>
	<li class=""new""><b>product.attribute_set :</b> nom du jeu d'attributs</li>
	<li class=""new""><b>product.attribute_set.id :</b> id du jeu d'attributs</li>
	<li><b>product.attribute.* :</b> attribut<br/>Liste d'attributs intéressants :
		<ul>
			<li><b>sku :</b> la référence</li>
			<li><b>name :</b> le nom</li>
			<li><b>weight :</b> le poids</li>
			<li><b>price :</b> le prix (tel qu'il a été saisi sur la fiche du produit)</li>
			<li><b>special_price :</b> le prix promotionnel (tel qu'il a été saisi sur la fiche du produit)</li>
		</ul>
		<span class=""new"">Quelques pseudos-attributs sont également disponibles pour faciliter certains calculs :
		<ul>
			<li><b>price-tax+discount :</b> le prix HT avec remise</li>
			<li><b>price-tax-discount :</b> le prix HT sans remise</li>
			<li><b>price+tax+discount :</b> le prix TTC avec remise</li>
			<li><b>price+tax-discount :</b> le prix TTC sans remise</li>
		</ul></span>
	</li>
	<li><b>product.option.* :</b> option</li>
	<li><b>product.stock.is_in_stock :</b> disponibilité du produit</li>
	<li><b>product.stock.quantity :</b> stock du produit</li>
</ul>
<p>
	Il est possible de spécifier des conditions que doivent remplir les produits pour être pris en compte. Pour cela, il suffit d'ajouter <span class=""code""> where </span> suivi d'une formule.
</p>
<p>
	Si la propriété est de type <strong>Oui/Non</strong>, vous devez utiliser les valeurs <span class=""code"">true</span>/<span class=""code"">false</span> ou <span class=""code"">1</span>/<span class=""code"">0</span> sans les guillemets.
</p>
<div class=""code""><span class=""comment""># Propriété de type Oui/Non</span><br/>
conditions: <span class=""string"">""{count products where product.attribute.colissimo_allowed==1}""</span>,<br/>
<span class=""comment""># ou</span><br/>
conditions: <span class=""string"">""{count products where product.attribute.colissimo_allowed==true}""</span>,</div>

<p>
	Si la propriété est de type <strong>Liste de sélection</strong> et que vous souhaitez faire une comparaison avec l'id plutôt qu'avec la valeur, vous devez utiliser la syntaxe suivante :
</p>

<div class=""code""><span class=""comment""># Condition validée si l'attribut 'color' est égale à la valeur dont l'id est 1</span><br/>
conditions: <span class=""string"">""{count products where product.attribute.color.id==1}""</span>,</div>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.more.foreach}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Utilisation des boucles foreach</h4>

<p>
	Les boucles foreach permettent d'effectuer un calcul sur des groupes de produits plutôt que de tenir compte de tous les produits du panier.<br/>
	Le résultat global d'une boucle foreach est la somme des résultats de chaque passage dans la boucle.
</p>
<p>
	Pour utiliser les catégories des produits comme itération ou à l'intérieur des boucles foreach, voir la <a href=""#"" onclick=""os2editor.help('more.categories');"">rubrique explicative</a>.
</p>
<p>
	A l'intérieur d'une boucle foreach, il est possible d'utiliser de nouvelles variables :
</p>
<ul>
	<li><b>{selection.weight}</b>: poids de la sélection</li>
	<li><b>{selection.quantity}</b>: nombre d'articles dans la sélection</li>
</ul>
<p>
	Lorsque la sélection se fait sur le sku, chaque sélection est composée d'un seul article. On peut donc utiliser d'autres variables :
</p>
<ul>
	<li><b>{product.weight}</b>: poids de l'article sélectionné</li>
	<li><b>{product.quantity}</b>: quantité de l'article sélectionné</li>
	<li><b>{product.category}</b>: nom de la première catégorie du produit</li>
	<li><b>{product.category.id}</b>: id de la première catégorie du produit</li>
	<li class=""new""><b>{product.attribute_set}</b>: nom du jeu d'attributs</li>
	<li class=""new""><b>{product.attribute_set.id}</b>: id du jeu d'attributs</li>
	<li><b>{product.attribute.*}</b>: attribut de l'article sélectionné<br/>
		<span class=""new"">Quelques pseudos-attributs sont également disponibles pour faciliter certains calculs :
		<ul>
			<li><b>price-tax+discount :</b> le prix HT avec remise</li>
			<li><b>price-tax-discount :</b> le prix HT sans remise</li>
			<li><b>price+tax+discount :</b> le prix TTC avec remise</li>
			<li><b>price+tax-discount :</b> le prix TTC sans remise</li>
		</ul></span>
	</li>
	<li><b>{product.option.*}</b>: option de l'article sélectionné</li>
</ul>

<div class=""code""><span class=""comment""># Regroupement des produits par origine puis traitement des groupes séparémment</span><br/>
fees: <span class=""string"">""{foreach product.attribute.code_origin}{table {selection.weight} in 0.0:0.00, 1.0:11.00, 3.0:12.00, 5.0:13.00}{/foreach}""</span>,<br/>
<br/>
<span class=""comment""># Calcul individuel des frais de port</span><br/>
fees: <span class=""string"">""{foreach product.attribute.sku}{product.attribute.shipping}*{product.quantity}{/foreach}""</span>,<br/>
</div>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.more.categories}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Utilisation des catégories dans les boucles foreach ou dans les fonctions spéciales</h4>

<p>
	Depuis la version 2.4.2, il est possible d'utiliser les catégories des produits dans les formules.
</p>
<p>
	<strong>Attention, il est à noter que dans Magento, un produit peut être dans plusieurs catégories.</strong> Faites donc particulièrement attention à la façon dont vous utilisez cette propriété.
</p>
<p>
	Voici quelques exemples d'utilisation :
</p>
<div class=""code""><span class=""comment""># Boucle foreach dont l'itération se fait sur la catégorie</span><br/>
fees: <span class=""string"">""{foreach product.categories}{selection.weight}{/foreach}""</span>,<br/>
<br/>
<span class=""comment""># Utilisation de la catégorie à l'intérieur d'une boucle foreach</span><br/>
fees: <span class=""string"">""{foreach product.attribute.sku}({product.category}=='Test' ? 2.00 : 1.00)*{product.quantity}{/foreach}""</span>,<br/>
<span class=""comment""># Utilisation de l'id de la catégorie à l'intérieur d'une boucle foreach</span><br/>
fees: <span class=""string"">""{foreach product.attribute.sku}({product.category.id}==12 ? 2.00 : 1.00)*{product.quantity}{/foreach}""</span>,<br/>
<br/>
<span class=""comment""># Somme des attributs weight des produits de la catégorie 'Test'</span>,<br/>
<span class=""comment""># La fonction in_array() est utilisée car product.categories retourne un tableau</span><br/>
fees: <span class=""string"">""{sum product.attribute.weight where in_array('Test', product.categories)}""</span>,<br/>
<span class=""comment""># Somme des attributs weight des produits de la catégorie dont l'id est 12</span>,<br/>
<span class=""comment""># La fonction in_array() est utilisée car product.categories.id retourne un tableau</span><br/>
fees: <span class=""string"">""{sum product.attribute.weight where in_array(12, product.categories.id)}""</span>,<br/>
<br/>
<span class=""comment""># Somme des attributs weight des produits dont la première catégorie est 'Test'</span><br/>
<span class=""comment""># (préférez la solution ci-dessus si vos produits sont dans plusieurs catégories)</span><br/>
fees: <span class=""string"">""{sum product.attribute.weight where product.category=='Test'}""</span>,<br/>
<span class=""comment""># Somme des attributs weight des produits dont l'id de la première catégorie est 12</span><br/>
<span class=""comment""># (préférez la solution ci-dessus si vos produits sont dans plusieurs catégories)</span><br/>
fees: <span class=""string"">""{sum product.attribute.weight where product.category.id==12}""</span>,<br/>
<br/>
</div>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.more.custom-variables}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Utilisation des variables personnalisées de Magento (Custom Variables)</h4>
<p>
	Depuis la version 1.4.0.1 de Magento, il est possible de définir des variables personnalisées.
</p>
<p>
	La version 2.2.7 d'Owebia Shipping vous permet d'utiliser ces variables personnalisées grâce à la syntaxe suivante :
</p>
<div class=""code""><span class=""comment""># Utilisation de la variable personnalisée my_var<br/></span>
fees: <span class=""string"">""{customvar.my_var}*5.00""</span>,<br/>
...<br/>
<span class=""comment""># Idem en utilisant la syntaxe standard de Magento<br/></span>
fees: <span class=""string"">""{{customVar code=my_var}}*5.00""</span>,<br/>
...</div>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.property.conditions}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Les conditions : `conditions`</h4>
<p>
	La propriété `conditions` se spécifie sous la forme d'une <a href=""#"" onclick=""os2editor.help('more.formulas');"">formule (voir l'initiation aux formules)</a>
	qui doit retourner une valeur booléenne (true ou false).
</p>

<div class=""code""><span class=""comment""># Tranches de prix</span><br/>
<br/>
&nbsp;&nbsp;&nbsp;<span class=""comment""># De 0 à 70 TTC</span><br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""{cart.price_including_tax}&lt;=70""</span>,<br/>
<br/>
&nbsp;&nbsp;&nbsp;<span class=""comment""># De 0 à 70 HT</span><br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""{cart.price_excluding_tax}&lt;=70""</span>,<br/>
<br/>
&nbsp;&nbsp;&nbsp;<span class=""comment""># De 20 exclu à 70 inclu</span><br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""({cart.price_excluding_tax} &gt; 20) and ({cart.price_excluding_tax} &lt;= 70)""</span>,<br/>
<br/>
&nbsp;&nbsp;&nbsp;<span class=""comment""># De 10 inclu à 50 exclu</span><br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""({cart.price_excluding_tax} &gt;= 10) and ({cart.price_excluding_tax} &lt; 50)""</span>,<br/>
<br/>
<br/>
<span class=""comment""># Tranches de poids</span><br/>		
<br/>
&nbsp;&nbsp;&nbsp;<span class=""comment""># De 0.5 exclu à 3 inclu</span><br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""({cart.weight} &gt; 0.5) and ({cart.weight} &lt;= 3.0)""</span>,<br/>
<br/>
&nbsp;&nbsp;&nbsp;<span class=""comment""># De 1 inclu à 5 exclu</span><br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""({cart.weight} &gt;= 1.0) and ({cart.weight} &lt; 5.0)""</span>,<br/>
<br/>
<br/>
<span class=""comment""># Free shipping</span><br/>
<br/>
&nbsp;&nbsp;&nbsp;<span class=""comment""># Only when free shipping</span><br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""{free_shipping}""</span>,<br/>
<br/>
&nbsp;&nbsp;&nbsp;<span class=""comment""># Only when no free shipping</span><br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""!{free_shipping}""</span>,<br/>
<br/>
<br/>
<span class=""comment""># Attribut ou option des produits</span><br/>		
<br/>
&nbsp;&nbsp;&nbsp;<span class=""comment""># Si au moins un produit possède l'attribut 'color' égal à 'Bleu'</span><br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""{count products where product.attribute.color=='Bleu'}&gt;1""</span>,<br/>
<br/>
&nbsp;&nbsp;&nbsp;<span class=""comment""># Si tous les produits possèdent l'option 'size' supérieure ou égal à '1'</span><br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""{count products where product.option.size&gt;='1'}=={cart.quantity}""</span>,</div>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

"
			"{os2editor.help.property.destination}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>La destination : `destination`</h4>
<p>
	Les codes pays utilisés sont ceux de Magento (à priori ils sont les mêmes que les codes ISO 3166-1 alpha-2).<br/>
	Il est possible de spécifier les codes régions ou les codes postaux que l'on veut filtrer ou exclure.
</p>
<p class=""new"">
	Vous pouvez utiliser le caractère jocker <span class=""code"">*</span> ou les expressions régulières pour les codes postaux.<br/>
	Une expression régulière doit commencer et se terminer par le caractère <span class=""code"">/</span>. Si vous souhaitez utiliser les caractères <span class=""code"">(</span>, <span class=""code"">)</span> ou <span class=""code"">,</span>, vous devez les échapper avec le caractère <span class=""code"">\</span> (ex: <span class=""code""><span class=""string"">""FR(/^25\([0-9]{3}\)$/)""</span></span>).
</p>

<div class=""code""><span class=""comment""># France, Allemagne, Suisse, Espagne, Italie</span><br/>
destination: <span class=""string"">""FR,DE,CH,ES,IT""</span>,<br/>
<br/>
<span class=""comment""># France sauf la Corse</span><br/>
destination: <span class=""string"">""FR-(2A,2B)""</span>,<br/>

<br/>
<span class=""comment""># Corse</span><br/>
destination: <span class=""string"">""FR(2A,2B)""</span>,<br/>
<br/>
<span class=""comment""># Le monde entier sauf l'Allemagne et la Corse</span><br/>
destination: <span class=""string"">""* - ( DE, FR(2A,2B) )""</span>,<br/>

<br/>
<span class=""comment""># Tous les codes postaux commençant par 25 en utilisant le caractère jocker</span><br/>
destination: <span class=""string"">""FR(25*)""</span>,<br/>
<br/>
<span class=""comment""># Tous les codes postaux commençant par 25 en utilisant une expression régulière</span><br/>
destination: <span class=""string"">""FR(/^25[0-9]{3}$/)""</span>,</div>

<div class=""tips"">
	<p><strong>Astuce</strong><br/>Dans l'éditeur, vous pouvez utiliser les code pays mais aussi les noms des pays ainsi que des raccourcis pour insérer des groupes de pays.</p>
	<ul>
		<li><strong>UE</strong> ou <strong>Union Européenne</strong> : ajoute les pays de l'Union Européenne.</li>
		<li><strong>DOM</strong> : ajoute les Départements d'Outre-Mer Français.</li>
		<li><strong>COM</strong> : ajoute les Collectivités d'Outre-Mer Françaises.</li>
		<li><strong>Outre-Mer</strong> : ajoute tout l'Outre-Mer Français.</li>
		<li><strong>Corse</strong> : ajoute la corse (<span class=""code""><span class=""string"">""FR(2A,2B)""</span></span>).</li>
	</ul>
	<p>
		Vous pouvez interragir avec les pays se trouvant dans l'Aperçu. Si vous cliquez sur l'un d'eux, un menu vous offre la possibilité d'effectuer certaines actions.
	</p>
</div>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.property.enabled}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>L'activation : `enabled`</h4>
<p>Permet d'activer ou de désactiver la méthode de livraison.</p>
<p>La valeur doit être booléenne.</p>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.property.code}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Le code : `code`</h4>
<p>C'est l'identifiant de la méthode de livraison.</p>
<p>Il doit être unique. S'il n'est pas unique, il sera modifié.</p>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.property.description}","
<div class=""help-header"">
	<p>Voir également la propriété <a href=""#"" onclick=""os2editor.help('property.label');"">label</a>.</p>
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>La description : `description`</h4>
<p>Il s'agit de la description de la méthode de livraison.</p>
<p>Le fonctionnement est identique à la propriété <a href=""#"" onclick=""os2editor.help('property.label');"">label</a>.</p>

<div class=""help-footer"">
	<p>Voir également la propriété <a href=""#"" onclick=""os2editor.help('property.label');"">label</a>.</p>
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.property.origin}","
<div class=""help-header"">
	<p>Voir également la propriété <a href=""#"" onclick=""os2editor.help('property.destination');"">destination</a>.</p>
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>L'origine : `origin`</h4>
<p>
	Idem que la destination mais pour filtrer l'origine de livraison.<br/>
	La syntaxe est identique au filtrage de la <a href=""#"" onclick=""os2editor.help('property.destination');"">destination</a>.
</p>

<div class=""help-footer"">
	<p>Voir également la propriété <a href=""#"" onclick=""os2editor.help('property.destination');"">destination</a>.</p>
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.property.customer_groups}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Les groupes client : `customer_groups`</h4>
<p>
	On peut utiliser le nom ou l'ID des groupes client.
</p>

<div class=""code""><span class=""comment""># Groupes NOT LOGGED IN et General</span><br/>
customer_groups: <span class=""string"">""NOT LOGGED IN,General""</span>,<br/>

<br/>
<span class=""comment""># Groupes NOT LOGGED IN et General par leur ID</span><br/>
customer_groups: <span class=""string"">""0,1""</span>,<br/>
<br/>
<span class=""comment""># Groupe Retailer</span><br/>
customer_groups: <span class=""string"">""Retailer""</span>,</div>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.property.tracking_url}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>L'URL de suivi : `tracking_url`</h4>
<p>
	<strong>L'utilisation de la propriété `tracking_url` est réservée aux utilisateurs expérimentés. Si vous ne comprenez pas les indications ci-dessous, il est préférable que vous évitiez d'utiliser cette fonctionnalité.</strong>
</p>
<p>
	La propriété `tracking_url` permet de surcharger le champ ""URL de suivi"" d'un mode de livraison Owebia Shipping et ainsi de spécifier une URL de suivi <strong>par méthode de livraison</strong> plutôt qu'une pour tout le mode de livraison.
</p>
<p>
	Pour insérer automatiquement le numéro de colis dans l'URL de suivi, vous devez utiliser <span class=""code"">{tracking_number}</span>.
</p>

<div class=""code""><span class=""comment""># URL de suivi pour le transporteur Colissimo</span><br/>
tracking_url: <span class=""string"">""http://www.coliposte.net/particulier/suivi_particulier.jsp?colispart={tracking_number}""</span>,</div>

<p>
	Magento ne gère pas les liens de tracking mais un statut de tracking. L'extension Owebia Shipping 2 fournit un lien HTML à la place du statut, lien qui permet d'aller sur le site du transporteur et de suivre l'avancement de la livraison du colis.
</p>
<p>
	Lorsque l'URL de suivi est construite par l'extension, la seule information disponible est le numéro de colis et on n'a nul part accès à la méthode de livraison sélectionnée. Afin de pouvoir retrouver l'url de suivi dans la configuration, il faut spécifier la méthode de livraison dans le numéro de tracking, par exemple : <span class=""code"">colissimo:8Lxxxxxxxxxxx</span> où <span class=""code"">colissimo</span> est le code de la méthode de livraison sélectionnée.<br/>
	Si aucun code n'est spécifié (si vous saisissez uniquement le numéro de tracking), l'url utilisée sera celle globale au mode de livraison.
</p>
<p>
	Pour répondre à une question récurrente, Magento affiche le statut de livraison depuis le back office ou le front office. <strong>Si vous souhaitez insérer l'URL de suivi dans les mails d'expédition, vous devrez développer vous même la récupération de l'URL de suivi et son insertion dans le mail, en effet, l'extension Owebia Shipping 2 se contente de fournir des modes de livraison paramétrables sans apporter de grande modification au coeur de Magento afin de réduire les problèmes d'incompatibilité et de mise à jour.</strong>
</p>
<p>
	Si vous obtenez un popup vide lorsque vous cliquez sur le lien de suivi, votre problème est très certainement lié au fait que vous n'avez pas spécifié le code de la méthode de livraison dans le numéro de suivi (voir indications plus haut) et que votre champ global ""URL de suivi"" est vide.
</p>
<p>
	Il n'est actuellement pas prévu de modifier les fonctionnalitées de l'extension liées à l'URL de suivi.
</p>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.property.*comment}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Commentaires</h4>
<p>
	Vous pouvez ajouter un commentaire sur la méthode de livraison. Celui-ci ne sera affiché nul part mais vous pouvez y mettre des annotations.
</p>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.changelog}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Changelog</h4>
<div class=""code""><pre>
{changelog}
</pre></div>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
